Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.07067135387190203, 0.007484031000457693)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135389385348, 0.007484030999100569)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135389657363, 0.007484030987790812)   (rho_normalized calls: 273) 


Obj funtion: (0.07067135386696358, 0.007484031019917825)   (rho_normalized calls: 273) 


Obj funtion: (0.06532875889702719, 0.009299464551320538)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875885040902, 0.009299464577264752)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875811360694, 0.009299463968514016)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875948089145, 0.009299465144276528)   (rho_normalized calls: 315) 


Obj funtion: (0.0653287595542643, 0.009299464560199696)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875774260946, 0.009299464081981026)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875793161018, 0.009299464283975399)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889637564, 0.009299464551661415)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875890751559, 0.009299464562946582)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875890691951, 0.009299464559748987)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875891429445, 0.009299464557976561)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875895879511, 0.009299464555722808)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875890688011, 0.009299464549121186)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875890101361, 0.00929946454926697)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875885171019, 0.00929946450181273)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875886976809, 0.009299464529175632)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875905279302, 0.009299464546597924)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875877898425, 0.009299464588636022)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875888618124, 0.009299464560627246)   (rho_normalized calls: 315) 


Obj funtion: (0.0653287588969602, 0.00929946455135869)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889756383, 0.009299464552215277)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889667614, 0.009299464550870305)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889715271, 0.009299464552581054)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889193057, 0.00929946455058953)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889714496, 0.00929946455082208)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889743675, 0.00929946455109078)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889479874, 0.009299464546825842)   (rho_normalized calls: 315) 


Obj funtion: (0.0653287588978471, 0.009299464552343161)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875891764946, 0.009299464549716682)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875892079061, 0.009299464552393964)   (rho_normalized calls: 315) 


Obj funtion: (0.06532875889139982, 0.009299464566359932)   (rho_normalized calls: 315) 


Obj funtion: (0.053965737864679425, 0.007392028525069294)   (rho_normalized calls: 189) 


Obj funtion: (0.05396573810621244, 0.007392028703212155)   (rho_normalized calls: 189) 


