distance_m,x_m,y_m
313.5000,310.0265,10.2271
314.0000,310.5278,10.2556
314.5000,311.0274,10.2880
315.0000,311.5252,10.3244
315.5000,312.0210,10.3652
316.0000,312.5145,10.4108
316.5000,313.0157,10.4625
317.0000,313.5164,10.5198
317.5000,314.0145,10.5828
318.0000,314.5099,10.6514
318.5000,315.0025,10.7256
319.0000,315.4925,10.8055
319.5000,315.9809,10.8911
320.0000,316.4760,10.9836
320.5000,316.9686,11.0813
321.0000,317.4588,11.1834
321.5000,317.9468,11.2896
322.0000,318.4329,11.3990
322.5000,318.9173,11.5107
323.0000,319.4022,11.6243
323.5000,319.8874,11.7407
324.0000,320.3715,11.8613
324.5000,320.8545,11.9878
325.0000,321.3363,12.1217
325.5000,321.8170,12.2643
326.0000,322.2963,12.4163
326.5000,322.7631,12.5747
327.0000,323.2287,12.7436
327.5000,323.6929,12.9231
328.0000,324.1557,13.1137
328.5000,324.6171,13.3152
329.0000,325.0770,13.5276
329.5000,325.5298,13.7480
330.0000,325.9692,13.9723
330.5000,326.4071,14.2058
331.0000,326.8433,14.4480
331.5000,327.2779,14.6984
332.0000,327.7108,14.9563
332.5000,328.1418,15.2209
333.0000,328.5684,15.4900
333.5000,328.9884,15.7612
334.0000,329.4066,16.0368
334.5000,329.8228,16.3159
335.0000,330.2370,16.5976
335.5000,330.6491,16.8812
336.0000,331.0592,17.1657
336.5000,331.4705,17.4528
337.0000,331.8881,17.7451
337.5000,332.3033,18.0357
338.0000,332.7160,18.3238
338.5000,333.1264,18.6086
339.0000,333.5342,18.8894
339.5000,333.9395,19.1653
340.0000,334.3551,19.4443
340.5000,334.7855,19.7284
341.0000,335.2130,20.0049
341.5000,335.6374,20.2733
342.0000,336.0589,20.5332
342.5000,336.4772,20.7846
343.0000,336.8939,21.0280
343.5000,337.3437,21.2831
344.0000,337.7899,21.5284
344.5000,338.2326,21.7648
345.0000,338.6719,21.9933
345.5000,339.1079,22.2151
346.0000,339.5442,22.4340
346.5000,339.9940,22.6582
347.0000,340.4410,22.8814
347.5000,340.8866,23.1047
348.0000,341.3317,23.3291
348.5000,341.7773,23.5552
349.0000,342.2196,23.7812
349.5000,342.6605,24.0078
350.0000,343.1033,24.2363
350.5000,343.5481,24.4665
351.0000,343.9949,24.6977
351.5000,344.4438,24.9294
352.0000,344.8898,25.1583
352.5000,345.3368,25.3857
353.0000,345.7849,25.6107
353.5000,346.2339,25.8323
354.0000,346.6830,26.0493
354.5000,347.1353,26.2621
355.0000,347.6032,26.4750
355.5000,348.0693,26.6786
356.0000,348.5329,26.8715
356.5000,348.9932,27.0521
357.0000,349.4494,27.2191
357.5000,349.9364,27.3825
358.0000,350.4338,27.5315
358.5000,350.9230,27.6584
359.0000,351.4029,27.7616
359.5000,351.8726,27.8400
360.0000,352.3851,27.8970
360.5000,352.8999,27.9211
361.0000,353.3980,27.9094
361.5000,353.8791,27.8622
362.0000,354.3668,27.7753
362.5000,354.8583,27.6459
363.0000,355.3299,27.4812
363.5000,355.7833,27.2868
364.0000,356.2335,27.0635
364.5000,356.6767,26.8218
365.0000,357.1062,26.5686
365.5000,357.5207,26.3034
366.0000,357.9393,26.0116
366.5000,358.3391,25.7068
367.0000,358.7188,25.3900
367.5000,359.0884,25.0522
368.0000,359.4463,24.6929
368.5000,359.7804,24.3247
369.0000,360.0949,23.9440
369.5000,360.4018,23.5353
370.0000,360.6823,23.1234
370.5000,360.9406,22.7057
371.0000,361.1909,22.2581
371.5000,361.4143,21.8148
372.0000,361.6185,21.3637
372.5000,361.8085,20.8926
373.0000,361.9729,20.4307
373.5000,362.1212,19.9514
374.0000,362.2477,19.4697
374.5000,362.3517,18.9865
375.0000,362.4349,18.4926
375.5000,362.4999,17.9952
376.0000,362.5549,17.4735
376.5000,362.5969,16.9921
377.0000,362.6333,16.4752
377.5000,362.6565,15.9995
378.0000,362.6632,15.4970
378.5000,362.6454,15.0176
379.0000,362.6020,14.5105
379.5000,362.5473,14.0432
380.0000,362.4770,13.5198
380.5000,362.4101,13.0547
381.0000,362.3342,12.5432
381.5000,362.2580,12.0391
382.0000,362.1834,11.5498
382.5000,362.1064,11.0481
383.0000,362.0292,10.5586
383.5000,361.9505,10.0778
384.0000,361.8659,9.5792
384.5000,361.7767,9.0711
385.0000,361.6916,8.5979
385.5000,361.6024,8.1095
