Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.06578347817095306, 0.009372926854504911)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347817087749, 0.009372926851074163)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347817876716, 0.009372926849504252)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347822273344, 0.009372926847382859)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347817082487, 0.009372926840817638)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816570196, 0.009372926840749016)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347811707977, 0.009372926793737493)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347813291688, 0.009372926821753573)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347831376014, 0.009372926838580726)   (rho_normalized calls: 315) 


Obj funtion: (0.0657834780424235, 0.009372926880995128)   (rho_normalized calls: 315) 


Obj funtion: (0.0657834781501428, 0.009372926852431507)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816072588, 0.009372926843023942)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816133705, 0.009372926843865939)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816048347, 0.009372926842547985)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816092527, 0.009372926844275698)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347815569713, 0.009372926842230442)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816091583, 0.009372926842472231)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816125527, 0.00937292684273353)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347815855551, 0.009372926838532181)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347816152419, 0.009372926843970512)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347818137273, 0.009372926841294992)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347818466222, 0.00937292684404711)   (rho_normalized calls: 315) 


Obj funtion: (0.06578347815512064, 0.009372926858179767)   (rho_normalized calls: 315) 


Obj funtion: (0.054859650713183904, 0.007772136771516758)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965093615458, 0.0077721368354305214)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965080595931, 0.007772136356448653)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965145076724, 0.007772137265971569)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965193759871, 0.00777213702218897)   (rho_normalized calls: 189) 


Obj funtion: (0.054859649611089446, 0.007772136291877636)   (rho_normalized calls: 189) 


Obj funtion: (0.054859650049618944, 0.007772136553596412)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965071808443, 0.0077721367741001085)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965072581617, 0.007772136781932218)   (rho_normalized calls: 189) 


Obj funtion: (0.054859650709992006, 0.0077721367779468925)   (rho_normalized calls: 189) 


Obj funtion: (0.054859650727413424, 0.007772136778577048)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965077785804, 0.007772136776722153)   (rho_normalized calls: 189) 


Obj funtion: (0.05485965071843545, 0.007772136769914393)   (rho_normalized calls: 189) 


Obj funtion: (0.054859650686834724, 0.007772136754042764)   (rho_normalized calls: 189) 


